day 날
man 남자
time 시간
mother 어머니
school 학교
friend 친구
year 해
work 일
home 집
socks 양말
way 길
back 뒤
country 나라
student 학생
name 이름
child 어린이
today 오늘
place 장소
family 가족
world 세상
car 자동차
word 단어
teacher 선생님
night 밤
letter 편지
woman 여자
tree 나무
train 기차
language 언어
week 주
room 방
life 생명
picture 그림
city 도시
watch 시계
food 음식
dog 개
fish 물고기
month 월
class 반
bus 버스
town 마을
animal 동물
question 질문
road 도로
game 게임
minute 분
afternoon 오후
hand 손
course 과정
evening 밤
story 이야기
part 부분
water 물
parents 부모
interest 흥미
station 역
park 공원
bird 새
dinner 저녁식사
doctor 의사
street 길
idea 생각
summer 여름
job 일
sea 바다
tomorrow 내일
party 모임
door 문
plane 비행기
sound 소리
mountain 산
paper 종이
birthday 생일
earth 지구
window 창
example 예
eye 눈
flower 꽃
brother 형제
star 별
river 강
newspaper 신문
land 육지
program 프로그램
music 음악
hotel 호텔
moon 달
trip 여행
garden 정원
wife 아내
bed 침대
history 역사
light 빛
lion 사자
dog 개
cat 고양이
pencil 연필
lemon 레몬
tiger 호랑이
